epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,1986.49,1.13416,0.98681,1.5365,0.73203,0.65548,0.60762,0.42968,1.45997,1.50173,1.94418,0.00736625,0.00736625,0.00736625
71,2014.74,1.13294,0.98125,1.54279,0.7048,0.67159,0.56883,0.40183,1.42193,1.60927,1.91101,0.00729725,0.00729725,0.00729725
72,2043.13,1.13441,0.98441,1.53718,0.7307,0.6613,0.63838,0.46301,1.43688,1.39708,1.90517,0.0072277,0.0072277,0.0072277
73,2071.52,1.13758,0.97923,1.54299,0.73036,0.6604,0.62391,0.44522,1.44573,1.48086,1.91771,0.00715761,0.00715761,0.00715761
74,2099.78,1.12298,0.96815,1.52935,0.69951,0.68188,0.58937,0.42243,1.39259,1.5065,1.84993,0.007087,0.007087,0.007087
75,2128.22,1.11981,0.97384,1.53059,0.71014,0.68143,0.58797,0.42474,1.3935,1.53986,1.85469,0.00701588,0.00701588,0.00701588
76,2156.58,1.12731,0.98382,1.53364,0.71739,0.67562,0.61582,0.44608,1.39494,1.45546,1.86379,0.00694428,0.00694428,0.00694428
77,2184.9,1.11004,0.95787,1.52226,0.71807,0.6689,0.60315,0.43038,1.43355,1.52913,1.91107,0.00687222,0.00687222,0.00687222
78,2213.24,1.11386,0.97758,1.52309,0.71319,0.67517,0.60441,0.44019,1.3948,1.54081,1.84058,0.0067997,0.0067997,0.0067997
79,2241.52,1.0961,0.93567,1.50599,0.73069,0.66219,0.60304,0.43698,1.41082,1.50597,1.87563,0.00672675,0.00672675,0.00672675
80,2269.83,1.10393,0.94897,1.51225,0.70868,0.6774,0.59835,0.43492,1.38875,1.52442,1.88391,0.00665339,0.00665339,0.00665339
81,2298.16,1.10768,0.9589,1.52411,0.72761,0.6705,0.62164,0.44547,1.4196,1.45969,1.89181,0.00657963,0.00657963,0.00657963
82,2326.51,1.0949,0.94628,1.5064,0.72015,0.67427,0.59528,0.4327,1.38006,1.55011,1.86476,0.0065055,0.0065055,0.0065055
83,2354.84,1.09064,0.9163,1.49545,0.7231,0.67769,0.61263,0.44266,1.40584,1.48778,1.86169,0.00643101,0.00643101,0.00643101
84,2383.24,1.09682,0.94213,1.50669,0.7354,0.65534,0.58949,0.42792,1.3726,1.54322,1.84548,0.00635617,0.00635617,0.00635617
85,2411.58,1.09404,0.93428,1.49853,0.72546,0.66681,0.60914,0.44406,1.39413,1.47272,1.87181,0.00628101,0.00628101,0.00628101
86,2439.91,1.0913,0.9338,1.4995,0.71592,0.67248,0.5841,0.4232,1.36143,1.53978,1.81961,0.00620555,0.00620555,0.00620555
87,2468.25,1.08852,0.92968,1.49758,0.71632,0.67383,0.59523,0.43294,1.38306,1.51122,1.83795,0.00612981,0.00612981,0.00612981
88,2496.62,1.09188,0.91211,1.49519,0.71943,0.68098,0.59672,0.4359,1.35342,1.47084,1.82775,0.0060538,0.0060538,0.0060538
89,2524.97,1.07858,0.92711,1.49142,0.72288,0.66756,0.60242,0.44005,1.37118,1.46627,1.83058,0.00597754,0.00597754,0.00597754
90,2553.27,1.08352,0.91983,1.50218,0.72928,0.67135,0.59782,0.43139,1.40563,1.50677,1.89116,0.00590105,0.00590105,0.00590105
91,2581.64,1.07617,0.92531,1.48943,0.71704,0.66756,0.59589,0.43453,1.37467,1.50185,1.84868,0.00582435,0.00582435,0.00582435
92,2609.98,1.08291,0.92974,1.49576,0.72648,0.67338,0.61966,0.45236,1.3932,1.44966,1.86392,0.00574746,0.00574746,0.00574746
93,2638.3,1.06871,0.90288,1.48979,0.7213,0.6774,0.59768,0.44094,1.35261,1.47526,1.83427,0.0056704,0.0056704,0.0056704
94,2666.67,1.07204,0.89887,1.48454,0.73624,0.66711,0.59999,0.43492,1.37986,1.48966,1.84823,0.00559318,0.00559318,0.00559318
95,2695.01,1.06424,0.89536,1.48525,0.73579,0.66539,0.60733,0.44209,1.38929,1.49274,1.86211,0.00551584,0.00551584,0.00551584
96,2723.38,1.06747,0.90068,1.48445,0.72247,0.67905,0.61147,0.44553,1.38442,1.48911,1.85905,0.00543837,0.00543837,0.00543837
97,2751.68,1.07019,0.90507,1.48855,0.72934,0.67398,0.61579,0.45613,1.36084,1.48675,1.83942,0.00536081,0.00536081,0.00536081
98,2779.97,1.05826,0.88797,1.47534,0.73084,0.67184,0.60799,0.45121,1.35409,1.46361,1.84806,0.00528318,0.00528318,0.00528318
99,2808.3,1.05695,0.87942,1.47389,0.72768,0.66801,0.59404,0.4325,1.37243,1.50641,1.84415,0.00520548,0.00520548,0.00520548
100,2836.88,1.05855,0.88921,1.47926,0.71956,0.67502,0.60064,0.44043,1.37377,1.50309,1.85868,0.00512775,0.00512775,0.00512775
101,2865.34,1.04653,0.8785,1.46496,0.72127,0.67069,0.6132,0.4455,1.37632,1.4636,1.85375,0.00505,0.00505,0.00505
102,2893.64,1.04825,0.87744,1.46714,0.71056,0.681,0.59623,0.43468,1.35863,1.50089,1.86114,0.00497225,0.00497225,0.00497225
103,2922.18,1.04045,0.87582,1.4584,0.72317,0.67092,0.60488,0.44192,1.36048,1.50243,1.85696,0.00489452,0.00489452,0.00489452
104,2950.6,1.05348,0.88223,1.47143,0.7179,0.66577,0.60208,0.44168,1.36348,1.49724,1.85375,0.00481682,0.00481682,0.00481682
105,2978.99,1.03077,0.85824,1.4624,0.72373,0.66809,0.59717,0.4395,1.35103,1.5188,1.82798,0.00473919,0.00473919,0.00473919
106,3007.35,1.03695,0.86177,1.45404,0.71326,0.67472,0.59283,0.43646,1.3454,1.53766,1.81983,0.00466163,0.00466163,0.00466163
107,3035.66,1.035,0.86499,1.45386,0.72014,0.66219,0.58859,0.43276,1.33813,1.54769,1.81851,0.00458416,0.00458416,0.00458416
108,3063.98,1.02914,0.86204,1.45133,0.73508,0.65675,0.60386,0.44894,1.34816,1.52727,1.83516,0.00450682,0.00450682,0.00450682
109,3092.3,1.03392,0.86725,1.45682,0.73081,0.66174,0.59615,0.44456,1.33171,1.5303,1.83573,0.0044296,0.0044296,0.0044296
110,3120.61,1.0278,0.84928,1.44851,0.72202,0.67472,0.58661,0.43571,1.33973,1.54629,1.84677,0.00435254,0.00435254,0.00435254
111,3148.94,1.01675,0.8491,1.44557,0.72764,0.67293,0.59111,0.43641,1.34625,1.52953,1.84928,0.00427565,0.00427565,0.00427565
112,3177.3,1.02191,0.84867,1.44401,0.72807,0.67205,0.59486,0.44092,1.3413,1.51018,1.85106,0.00419895,0.00419895,0.00419895
113,3205.65,1.0078,0.8368,1.43188,0.72898,0.66577,0.5933,0.44089,1.34158,1.49969,1.84452,0.00412246,0.00412246,0.00412246
114,3233.89,0.99388,0.82353,1.42707,0.72789,0.66786,0.58939,0.4359,1.3385,1.52875,1.84514,0.0040462,0.0040462,0.0040462
115,3262.14,1.01351,0.83706,1.43708,0.72478,0.6689,0.59605,0.44184,1.33622,1.51793,1.84811,0.00397019,0.00397019,0.00397019
116,3290.45,1.01841,0.84435,1.43632,0.71987,0.67248,0.59441,0.4399,1.33923,1.52447,1.84518,0.00389445,0.00389445,0.00389445
117,3318.79,1.00274,0.82498,1.42595,0.7192,0.66935,0.58666,0.43247,1.33701,1.52532,1.85129,0.00381899,0.00381899,0.00381899
118,3347.06,0.99293,0.81399,1.41886,0.72367,0.66622,0.58705,0.43434,1.33631,1.5264,1.84535,0.00374383,0.00374383,0.00374383
119,3375.32,1.00191,0.82165,1.43264,0.7299,0.65593,0.59203,0.43776,1.33049,1.5097,1.83018,0.00366899,0.00366899,0.00366899
120,3403.62,0.99307,0.82234,1.42121,0.7199,0.66696,0.59367,0.44091,1.325,1.50399,1.83521,0.0035945,0.0035945,0.0035945
121,3431.92,0.98842,0.80795,1.41436,0.72891,0.66353,0.59768,0.4441,1.32476,1.50351,1.83825,0.00352037,0.00352037,0.00352037
122,3460.22,0.98544,0.81835,1.42535,0.73004,0.66064,0.60007,0.44544,1.32886,1.51205,1.84965,0.00344661,0.00344661,0.00344661
